MARCA,MODEL,VALOARE_DAUNA,PRET_MANOPERA,PROCENT_MANOPERA
FORD,FOCUS,307.98,193.31,62.767062796285465
FORD,TAURUS,422.15,228.94,54.23190808954163
FORD,FOCUS,287.64,179.08,62.25837852871646
FORD,FOCUS,329.14,198.78,60.39375341799842
FORD,FOCUS,332.93,214.41,64.40092511939447
FORD,TAURUS,297.06,202.0,67.99973069413586
FORD,EXPLORER SPORT TRAC,416.95,89.11,21.37186713035136
FORD,ESCAPE,347.06,213.92,61.63775716014521
AUDI,A4,392.75,222.4,56.62635264162954
FORD,FOCUS,345.35,215.74,62.469958013609386
FORD,FOCUS,286.58,164.03,57.23707167283133
FORD,TAURUS,358.58,204.54,57.04166434268504
FORD,FOCUS,352.09,219.48,62.33633445993922
FORD,WINDSTAR,322.72,240.91,74.64985126425383
FORD,WINDSTAR,331.92,231.77,69.82706676307544
FORD,TAURUS,244.39,146.15,59.80195589017554
FORD,EXPLORER,565.12,194.66,34.445781426953566
FORD,F250 SUPER DUTY,514.58,69.24,13.45563372070426
FORD,TAURUS,1893.16,1542.03,81.45270341650995
FORD,F-250,351.53,43.36,12.334651381105456
AUDI,A4,307.03,197.37,64.28362049311143
FORD,FOCUS,217.51,99.78,45.873752930899734
FORD,EXPLORER,338.8,220.09,64.96162927981109
FORD,FOCUS,310.56,127.31,40.99368882019578
FORD,TAURUS,380.4,193.61,50.896424815983174
FORD,FOCUS,228.65,131.76,57.625191340476704
FORD,FOCUS,187.03,85.08,45.49002833769983
FORD,FOCUS,320.45,141.56,44.17537837416134
FORD,WINDSTAR,373.23,240.67,64.48302655199207
FORD,EXPLORER,287.47,117.13,40.74512123004139
FORD,ESCAPE,345.33,218.71,63.33362291141806
FORD,EXPLORER,391.27,262.22,67.01766043908299
FORD,TAURUS,454.63,256.79,56.48329410729605
AUDI,A4,335.86,174.47,51.94723992139581
BMW,325,331.8,226.72,68.33031946955998
BMW,330CI,389.91,103.58,26.56510476776692
FORD,F250 SUPER DUTY,438.25,158.16,36.08899030233885
FORD,WINDSTAR,418.71,278.67,66.55441713835351
AUDI,A8,473.8,344.28,72.66357112705782
FORD,FOCUS,539.14,290.42,53.86727009682086
FORD,FOCUS,255.77,145.71,56.969151972475274
BMW,325,579.54,335.28,57.85277979086862
AUDI,A6,488.29,347.88,71.24454729771243
FORD,F150,538.0,92.65,17.22118959107807
FORD,EXPLORER,460.96,133.13,28.881030892051374
AUDI,A8,361.23,255.11,70.62259502256181
AUDI,A6,364.98,157.26,43.08729245438106
BMW,325,389.74,138.15,35.44670806178478
